"Total","Jahr","Beruf","Geschlecht","Anzahl"
1,"2012","Hufschmied/in","Männer",1
1,"2012","Industrie- und Unterlagsbodenbauer/in","Frauen",0
1,"2012","Industrie- und Unterlagsbodenbauer/in","Männer",1
1,"2012","Interactive Media Designer","Frauen",0
1,"2012","Interactive Media Designer","Männer",1
1,"2012","Isolierspengler/in","Frauen",0
1,"2012","Isolierspengler/in","Männer",1
1,"2012","Lebensmittelpraktiker/in","Frauen",0
1,"2012","Lebensmittelpraktiker/in","Männer",1
1,"2012","Milchtechnologe/-login","Frauen",1
1,"2012","Milchtechnologe/-login","Männer",0
1,"2012","Obstfachmann/-fachfrau","Frauen",0
1,"2012","Obstfachmann/-fachfrau","Männer",1
1,"2012","Printmedienpraktiker/-in","Frauen",0
1,"2012","Printmedienpraktiker/-in","Männer",1
1,"2012","Printmedienverarbeiter/in","Frauen",1
1,"2012","Printmedienverarbeiter/in","Männer",0
1,"2012","Säger/in Holzindustrie","Frauen",0
1,"2012","Säger/in Holzindustrie","Männer",1
1,"2012","Schauspieler/in","Frauen",1
1,"2012","Schauspieler/in","Männer",0
1,"2012","Steinmetz/in","Frauen",1
1,"2012","Steinmetz/in","Männer",0
1,"2012","Strassentransportpraktiker/in","Frauen",0
1,"2012","Strassentransportpraktiker/in","Männer",1
1,"2012","Tänzer/in","Frauen",1
1,"2012","Tänzer/in","Männer",0
1,"2012","Textiltechnologe/-login","Frauen",1
1,"2012","Textiltechnologe/-login","Männer",0
1,"2012","Verpackungstechnologe/-login","Frauen",1
1,"2012","Verpackungstechnologe/-login","Männer",0
1,"2012","Weintechnologe/-login","Frauen",1
1,"2012","Weintechnologe/-login","Männer",0
1,"2012","Winzer/in","Frauen",0
1,"2012","Winzer/in","Männer",1
7709,"2013","Total","Frauen",3447
7709,"2013","Total","Männer",4262
1267,"2013","Kaufmann/-frau","Frauen",742
1267,"2013","Kaufmann/-frau","Männer",525
511,"2013","Detailhandelsfachmann/-frau","Frauen",270
511,"2013","Detailhandelsfachmann/-frau","Männer",241
468,"2013","Fachmann/-frau Gesundheit","Frauen",408
468,"2013","Fachmann/-frau Gesundheit","Männer",60
381,"2013","Fachmann/-frau Betreuung","Frauen",328
381,"2013","Fachmann/-frau Betreuung","Männer",53
373,"2013","Kaufmann/-frau","Frauen",216
373,"2013","Kaufmann/-frau","Männer",157
338,"2013","Elektroinstallateur/in","Frauen",1
338,"2013","Elektroinstallateur/in","Männer",337
286,"2013","Informatiker/in","Frauen",26
286,"2013","Informatiker/in","Männer",260
213,"2013","Polymechaniker/in","Frauen",5
213,"2013","Polymechaniker/in","Männer",208
178,"2013","Detailhandelsassistent/in","Frauen",105
178,"2013","Detailhandelsassistent/in","Männer",73
175,"2013","Koch/Köchin","Frauen",52
175,"2013","Koch/Köchin","Männer",123
174,"2013","Dentalassistent/in","Frauen",168
174,"2013","Dentalassistent/in","Männer",6
155,"2013","Logistiker/in","Frauen",10
155,"2013","Logistiker/in","Männer",145
140,"2013","Medizinische/r Praxisassistent/in","Frauen",138
140,"2013","Medizinische/r Praxisassistent/in","Männer",2
134,"2013","Automobil-Fachmann/-frau","Frauen",4
134,"2013","Automobil-Fachmann/-frau","Männer",130
114,"2013","Coiffeur/-euse","Frauen",104
114,"2013","Coiffeur/-euse","Männer",10
112,"2013","Zeichner/in","Frauen",34
112,"2013","Zeichner/in","Männer",78
109,"2013","Pharma-Assistent/in","Frauen",106
109,"2013","Pharma-Assistent/in","Männer",3
103,"2013","Schreiner/in","Frauen",12
103,"2013","Schreiner/in","Männer",91
97,"2013","Automatiker/in","Frauen",2
97,"2013","Automatiker/in","Männer",95
90,"2013","Automobil-Mechatroniker/in","Frauen",2
90,"2013","Automobil-Mechatroniker/in","Männer",88
83,"2013","Konstrukteur/in","Frauen",9
83,"2013","Konstrukteur/in","Männer",74
83,"2013","Sanitärinstallateur/in","Frauen",1
83,"2013","Sanitärinstallateur/in","Männer",82
79,"2013","Fachmann/-frau Betriebsunterhalt","Frauen",4
79,"2013","Fachmann/-frau Betriebsunterhalt","Männer",75
74,"2013","Assistent/in Gesundheit und Soziales","Frauen",62
74,"2013","Assistent/in Gesundheit und Soziales","Männer",12
70,"2013","Zimmermann/Zimmerin","Frauen",1
70,"2013","Zimmermann/Zimmerin","Männer",69
67,"2013","Zeichner/in","Frauen",23
67,"2013","Zeichner/in","Männer",44
63,"2013","Gärtner/-in","Frauen",10
63,"2013","Gärtner/-in","Männer",53
63,"2013","Montage-Elektriker/in","Frauen",1
63,"2013","Montage-Elektriker/in","Männer",62
62,"2013","Maler/in","Frauen",24
62,"2013","Maler/in","Männer",38
61,"2013","Restaurationsfachmann/-frau","Frauen",43
61,"2013","Restaurationsfachmann/-frau","Männer",18
60,"2013","Maurer/in","Frauen",0
60,"2013","Maurer/in","Männer",60
57,"2013","Elektroniker/in","Frauen",4
57,"2013","Elektroniker/in","Männer",53
51,"2013","Hotelfachmann/-frau","Frauen",45
51,"2013","Hotelfachmann/-frau","Männer",6
41,"2013","Laborant/in","Frauen",18
41,"2013","Laborant/in","Männer",23
40,"2013","Heizungsinstallateur/in","Frauen",2
40,"2013","Heizungsinstallateur/in","Männer",38
38,"2013","Augenoptiker/in","Frauen",25
38,"2013","Augenoptiker/in","Männer",13
37,"2013","Metallbauer/in","Frauen",1
37,"2013","Metallbauer/in","Männer",36
34,"2013","Drogist/in","Frauen",31
34,"2013","Drogist/in","Männer",3
31,"2013","Tiermed. Praxisassistent/in","Frauen",28
31,"2013","Tiermed. Praxisassistent/in","Männer",3
29,"2013","Produktionsmechaniker/in","Frauen",0
29,"2013","Produktionsmechaniker/in","Männer",29
28,"2013","Mediamatiker/in","Frauen",13
28,"2013","Mediamatiker/in","Männer",15
27,"2013","Bekleidungsgestalter/in","Frauen",26
27,"2013","Bekleidungsgestalter/in","Männer",1
27,"2013","Landwirt/in","Frauen",2
27,"2013","Landwirt/in","Männer",25
26,"2013","Bäcker/in-Konditor/in-Confiseur/in","Frauen",15
26,"2013","Bäcker/in-Konditor/in-Confiseur/in","Männer",11
25,"2013","Büroassistent/in","Frauen",18
25,"2013","Büroassistent/in","Männer",7
25,"2013","Carrossier/in Lackiererei","Frauen",3
25,"2013","Carrossier/in Lackiererei","Männer",22
25,"2013","Coiffeur/-euse","Frauen",19
25,"2013","Coiffeur/-euse","Männer",6
25,"2013","Landmaschinenmechaniker/in","Frauen",0
25,"2013","Landmaschinenmechaniker/in","Männer",25
24,"2013","Florist/in","Frauen",22
24,"2013","Florist/in","Männer",2
24,"2013","Geomatiker/in","Frauen",2
24,"2013","Geomatiker/in","Männer",22
24,"2013","Logistiker/in","Frauen",3
24,"2013","Logistiker/in","Männer",21
23,"2013","Anlagen- und Apparatebauer/in","Frauen",0
23,"2013","Anlagen- und Apparatebauer/in","Männer",23
22,"2013","Elektroplaner/in","Frauen",7
22,"2013","Elektroplaner/in","Männer",15
19,"2013","Automatikmonteur/in","Frauen",1
19,"2013","Automatikmonteur/in","Männer",18
18,"2013","Fachmann/-frau Hauswirtschaft","Frauen",16
18,"2013","Fachmann/-frau Hauswirtschaft","Männer",2
18,"2013","Gebäudetechnikplaner/in","Frauen",6
18,"2013","Gebäudetechnikplaner/in","Männer",12
18,"2013","Strassenbauer/in","Frauen",0
18,"2013","Strassenbauer/in","Männer",18
17,"2013","Forstwart/in","Frauen",1
17,"2013","Forstwart/in","Männer",16
17,"2013","Printmedienverarbeiter/in","Frauen",8
17,"2013","Printmedienverarbeiter/in","Männer",9
17,"2013","Spengler/in","Frauen",0
17,"2013","Spengler/in","Männer",17
16,"2013","Fachmann/-frau Kundendialog","Frauen",9
16,"2013","Fachmann/-frau Kundendialog","Männer",7
16,"2013","Haustechnikpraktiker/in","Frauen",0
16,"2013","Haustechnikpraktiker/in","Männer",16
16,"2013","Hauswirtschaftspraktiker/in","Frauen",14
16,"2013","Hauswirtschaftspraktiker/in","Männer",2
16,"2013","Zeichner/in","Frauen",3
16,"2013","Zeichner/in","Männer",13
15,"2013","Polygraf/in","Frauen",10
15,"2013","Polygraf/in","Männer",5
14,"2013","Gebäudetechnikplaner/in","Frauen",4
14,"2013","Gebäudetechnikplaner/in","Männer",10
13,"2013","Anlehre: Übrige Berufe","Frauen",5
13,"2013","Anlehre: Übrige Berufe","Männer",8
12,"2013","Boden-Parkettleger/in","Frauen",0
12,"2013","Boden-Parkettleger/in","Männer",12
12,"2013","Fotofachmann/-frau","Frauen",3
12,"2013","Fotofachmann/-frau","Männer",9
12,"2013","Gestalter/in Werbetechnik","Frauen",7
12,"2013","Gestalter/in Werbetechnik","Männer",5
12,"2013","Multimediaelektroniker/in","Frauen",1
12,"2013","Multimediaelektroniker/in","Männer",11
12,"2013","Polybauer/in","Frauen",1
12,"2013","Polybauer/in","Männer",11
12,"2013","Polydesigner/in 3D","Frauen",10
12,"2013","Polydesigner/in 3D","Männer",2
11,"2013","Baumaschinenmechaniker/in","Frauen",0
11,"2013","Baumaschinenmechaniker/in","Männer",11
11,"2013","Carrossier/in Spenglerei","Frauen",0
11,"2013","Carrossier/in Spenglerei","Männer",11
11,"2013","Informatikpraktiker/in","Frauen",1
11,"2013","Informatikpraktiker/in","Männer",10
11,"2013","Kosmetiker/in","Frauen",11
11,"2013","Kosmetiker/in","Männer",0
11,"2013","Lebensmitteltechnologe/-login","Frauen",3
11,"2013","Lebensmitteltechnologe/-login","Männer",8
11,"2013","Netzelektriker/in","Frauen",2
11,"2013","Netzelektriker/in","Männer",9
11,"2013","Reifenpraktiker/in","Frauen",0
11,"2013","Reifenpraktiker/in","Männer",11
11,"2013","Strassentransportfachmann/-frau","Frauen",1
11,"2013","Strassentransportfachmann/-frau","Männer",10
10,"2013","Automobil-Assistent/in","Frauen",0
10,"2013","Automobil-Assistent/in","Männer",10
10,"2013","Fahrradmechaniker/-in","Frauen",0
10,"2013","Fahrradmechaniker/-in","Männer",10
10,"2013","Fleischfachmann/-frau","Frauen",2
10,"2013","Fleischfachmann/-frau","Männer",8
10,"2013","Restaurationsangestellte/r","Frauen",6
10,"2013","Restaurationsangestellte/r","Männer",4
10,"2013","Zimmermann/Zimmerin","Frauen",0
10,"2013","Zimmermann/Zimmerin","Männer",10
9,"2013","Buchhändler/in","Frauen",8
9,"2013","Buchhändler/in","Männer",1
9,"2013","Drucktechnologe/-login","Frauen",3
9,"2013","Drucktechnologe/-login","Männer",6
9,"2013","Fachmann/-frau Bewegungs-u.Ges.heitsförderung","Frauen",6
9,"2013","Fachmann/-frau Bewegungs-u.Ges.heitsförderung","Männer",3
9,"2013","Kaminfeger/in","Frauen",0
9,"2013","Kaminfeger/in","Männer",9
9,"2013","Küchenangestellte/r","Frauen",2
9,"2013","Küchenangestellte/r","Männer",7
9,"2013","Zahntechniker/in","Frauen",5
9,"2013","Zahntechniker/in","Männer",4
8,"2013","Gärtner/-in","Frauen",2
8,"2013","Gärtner/-in","Männer",6
8,"2013","Gärtner/-in","Frauen",1
8,"2013","Gärtner/-in","Männer",7
8,"2013","Holzbearbeiter/in","Frauen",0
8,"2013","Holzbearbeiter/in","Männer",8
8,"2013","Kunststofftechnologe/-login","Frauen",2
8,"2013","Kunststofftechnologe/-login","Männer",6
8,"2013","Metallbaukonstrukteur/in","Frauen",0
8,"2013","Metallbaukonstrukteur/in","Männer",8
8,"2013","Motorradmechaniker/in","Frauen",0
8,"2013","Motorradmechaniker/in","Männer",8
8,"2013","Plattenleger/in","Frauen",0
8,"2013","Plattenleger/in","Männer",8
8,"2013","Telematiker/in","Frauen",1
8,"2013","Telematiker/in","Männer",7
7,"2013","Bäcker/in-Konditor/in-Confiseur/in","Frauen",3
7,"2013","Bäcker/in-Konditor/in-Confiseur/in","Männer",4
7,"2013","Gebäudereiniger/in","Frauen",1
7,"2013","Gebäudereiniger/in","Männer",6
7,"2013","Gebäudetechnikplaner/in","Frauen",1
7,"2013","Gebäudetechnikplaner/in","Männer",6
7,"2013","Lüftungsanlagenbauer/in","Frauen",0
7,"2013","Lüftungsanlagenbauer/in","Männer",7
7,"2013","Mechanikpraktiker/in","Frauen",0
7,"2013","Mechanikpraktiker/in","Männer",7
7,"2013","Systemgastronomiefachmann/-frau","Frauen",4
7,"2013","Systemgastronomiefachmann/-frau","Männer",3
6,"2013","Anlehre: INSOS Pra","Frauen",2
6,"2013","Anlehre: INSOS Pra","Männer",4
6,"2013","Bäcker/in-Konditor/in-Confiseur/in","Frauen",3
6,"2013","Bäcker/in-Konditor/in-Confiseur/in","Männer",3
6,"2013","Bekleidungsgestalter/in","Frauen",6
6,"2013","Bekleidungsgestalter/in","Männer",0
6,"2013","Florist/in","Frauen",6
6,"2013","Florist/in","Männer",0
6,"2013","Hotellerieangestellte/r","Frauen",6
6,"2013","Hotellerieangestellte/r","Männer",0
6,"2013","Pferdefachmann/-frau","Frauen",6
6,"2013","Pferdefachmann/-frau","Männer",0
6,"2013","Schreinerpraktiker/in","Frauen",1
6,"2013","Schreinerpraktiker/in","Männer",5
6,"2013","Strassenbaupraktiker/in","Frauen",0
6,"2013","Strassenbaupraktiker/in","Männer",6
6,"2013","Tierpfleger/in","Frauen",3
6,"2013","Tierpfleger/in","Männer",3
5,"2013","Baupraktiker/in","Frauen",0
5,"2013","Baupraktiker/in","Männer",5
5,"2013","Fachmann/-frau Information u. Dokumentation","Frauen",5
5,"2013","Fachmann/-frau Information u. Dokumentation","Männer",0
5,"2013","Gipser/in-Trockenbauer/in","Frauen",0
5,"2013","Gipser/in-Trockenbauer/in","Männer",5
5,"2013","Haustechnikplaner/in","Frauen",0
5,"2013","Haustechnikplaner/in","Männer",5
5,"2013","Kältesystem-Monteur/-in","Frauen",0
5,"2013","Kältesystem-Monteur/-in","Männer",5
5,"2013","Bäcker/in-Konditor/in-Confiseur/in","Frauen",2
5,"2013","Bäcker/in-Konditor/in-Confiseur/in","Männer",3
5,"2013","Podologe/-login","Frauen",5
5,"2013","Podologe/-login","Männer",0
4,"2013","Anlehre: Gastgewerbe, Hauswirtschaft","Frauen",2
4,"2013","Anlehre: Gastgewerbe, Hauswirtschaft","Männer",2
4,"2013","Bühnentänzer/in","Frauen",2
4,"2013","Bühnentänzer/in","Männer",2
4,"2013","Grafiker/in","Frauen",2
4,"2013","Grafiker/in","Männer",2
4,"2013","Industrielackierer/in","Frauen",1
4,"2013","Industrielackierer/in","Männer",3
4,"2013","Laborist/in","Frauen",3
4,"2013","Laborist/in","Männer",1
4,"2013","Lastwagenführer/in","Frauen",0
4,"2013","Lastwagenführer/in","Männer",4
4,"2013","Pferdewart/in","Frauen",4
4,"2013","Pferdewart/in","Männer",0
4,"2013","Veranstaltungsfachmann/-frau","Frauen",2
4,"2013","Veranstaltungsfachmann/-frau","Männer",2
4,"2013","Wohntextilgestalter/in","Frauen",2
4,"2013","Wohntextilgestalter/in","Männer",2
3,"2013","Anlehre: Baugewerbe, Malerei","Frauen",0
3,"2013","Anlehre: Baugewerbe, Malerei","Männer",3
3,"2013","Anlehre: Büro, Verwaltung","Frauen",3
3,"2013","Anlehre: Büro, Verwaltung","Männer",0
3,"2013","Anlehre: Fahrzeuge","Frauen",0
3,"2013","Anlehre: Fahrzeuge","Männer",3
3,"2013","Bootbauer/in","Frauen",1
3,"2013","Bootbauer/in","Männer",2
3,"2013","Gebäudereiniger/in","Frauen",0
3,"2013","Gebäudereiniger/in","Männer",3
3,"2013","Gebäudetechnikplaner/in","Frauen",0
3,"2013","Gebäudetechnikplaner/in","Männer",3
3,"2013","Glaser/in","Frauen",0
3,"2013","Glaser/in","Männer",3
3,"2013","Goldschmied/in","Frauen",2
3,"2013","Goldschmied/in","Männer",1
3,"2013","Kältesystem-Planer/in","Frauen",0
3,"2013","Kältesystem-Planer/in","Männer",3
3,"2013","Metallbaupraktiker/in","Frauen",0
3,"2013","Metallbaupraktiker/in","Männer",3
3,"2013","Milchtechnologe/-login","Frauen",0
3,"2013","Milchtechnologe/-login","Männer",3
3,"2013","Orthopädist/in","Frauen",2
3,"2013","Orthopädist/in","Männer",1
3,"2013","Physiklaborant/in","Frauen",1
3,"2013","Physiklaborant/in","Männer",2
3,"2013","Textiltechnologe/-login","Frauen",0
3,"2013","Textiltechnologe/-login","Männer",3
3,"2013","Zweiradmechaniker/in","Frauen",0
3,"2013","Zweiradmechaniker/in","Männer",3
2,"2013","Anlehre: Haustechnik","Frauen",0
2,"2013","Anlehre: Haustechnik","Männer",2
2,"2013","Anlehre: Holzbearbeitung","Frauen",0
2,"2013","Anlehre: Holzbearbeitung","Männer",2
2,"2013","Anlehre: Körperpflege","Frauen",1
2,"2013","Anlehre: Körperpflege","Männer",1
2,"2013","Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft","Frauen",0
2,"2013","Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft","Männer",2
2,"2013","Anlehre: Malerei","Frauen",0
2,"2013","Anlehre: Malerei","Männer",2
2,"2013","Anlehre: Metallbearbeitung, Maschinenbau","Frauen",0
2,"2013","Anlehre: Metallbearbeitung, Maschinenbau","Männer",2
2,"2013","Anlehre: Textil und Bekleidung","Frauen",2
2,"2013","Anlehre: Textil und Bekleidung","Männer",0
2,"2013","Anlehre: Verkauf","Frauen",2
2,"2013","Anlehre: Verkauf","Männer",0
2,"2013","Büchsenmacher/in","Frauen",1
2,"2013","Büchsenmacher/in","Männer",1
2,"2013","Chemie- und Pharmatechnologe/-login","Frauen",0
2,"2013","Chemie- und Pharmatechnologe/-login","Männer",2
2,"2013","Entwässerungstechnologe/-technologin","Frauen",0
2,"2013","Entwässerungstechnologe/-technologin","Männer",2
2,"2013","Gleisbauer/in","Frauen",0
2,"2013","Gleisbauer/in","Männer",2
2,"2013","Hufschmied/in","Frauen",2
2,"2013","Hufschmied/in","Männer",0
2,"2013","Lackierassisten/in","Frauen",0
2,"2013","Lackierassisten/in","Männer",2
2,"2013","Motorgerätemechaniker/in","Frauen",0
2,"2013","Motorgerätemechaniker/in","Männer",2
2,"2013","Multimediaelektroniker/in","Frauen",0
2,"2013","Multimediaelektroniker/in","Männer",2
2,"2013","Netzelektriker/in","Frauen",0
2,"2013","Netzelektriker/in","Männer",2
2,"2013","Oberflächenbeschichter/in","Frauen",2
2,"2013","Oberflächenbeschichter/in","Männer",0
2,"2013","Orthopädie-Schuhmacher/in","Frauen",1
2,"2013","Orthopädie-Schuhmacher/in","Männer",1
2,"2013","Printmedienpraktiker/-in","Frauen",0
2,"2013","Printmedienpraktiker/-in","Männer",2
2,"2013","Recyclist/in","Frauen",0
2,"2013","Recyclist/in","Männer",2
2,"2013","Weintechnologe/-login","Frauen",0
2,"2013","Weintechnologe/-login","Männer",2
2,"2013","Zeichner/in","Frauen",1
2,"2013","Zeichner/in","Männer",1
2,"2013","Zeichner/in","Frauen",1
2,"2013","Zeichner/in","Männer",1
1,"2013","Agrarpraktiker/in","Frauen",0
1,"2013","Agrarpraktiker/in","Männer",1
1,"2013","Anlagen- und Apparatebauer/in","Frauen",0
1,"2013","Anlagen- und Apparatebauer/in","Männer",1
1,"2013","Anlehre: Nahrungsmittel und Getränke","Frauen",0
1,"2013","Anlehre: Nahrungsmittel und Getränke","Männer",1
1,"2013","Anlehre: Postangestellte/r","Frauen",0
1,"2013","Anlehre: Postangestellte/r","Männer",1
1,"2013","Architekturmodellbauer/in","Frauen",1
1,"2013","Architekturmodellbauer/in","Männer",0
1,"2013","Bootfachwart/in","Frauen",0
1,"2013","Bootfachwart/in","Männer",1
1,"2013","Fachmann/-frau Leder und Textil","Frauen",1
1,"2013","Fachmann/-frau Leder und Textil","Männer",0
1,"2013","Fahrzeugschlosser/in","Frauen",0
1,"2013","Fahrzeugschlosser/in","Männer",1
1,"2013","Feinwerkoptiker/in","Frauen",0
1,"2013","Feinwerkoptiker/in","Männer",1
1,"2013","Formenpraktiker/in","Frauen",0
1,"2013","Formenpraktiker/in","Männer",1
1,"2013","Fotograf/in","Frauen",0
1,"2013","Fotograf/in","Männer",1
1,"2013","Geflügelfachmann/-fachfrau","Frauen",0
1,"2013","Geflügelfachmann/-fachfrau","Männer",1
1,"2013","Gemüsegärtner/in","Frauen",0
1,"2013","Gemüsegärtner/in","Männer",1
1,"2013","Gleisbaupraktiker/in","Frauen",0
1,"2013","Gleisbaupraktiker/in","Männer",1
1,"2013","Industriekeramiker/in","Frauen",1
1,"2013","Industriekeramiker/in","Männer",0
1,"2013","Kältemontage-Praktiker/in","Frauen",0
1,"2013","Kältemontage-Praktiker/in","Männer",1
1,"2013","Kältemonteur/in","Frauen",0
1,"2013","Kältemonteur/in","Männer",1
1,"2013","Kleinmotorrad- u Fahrradmechaniker/in","Frauen",0
1,"2013","Kleinmotorrad- u Fahrradmechaniker/in","Männer",1
1,"2013","Lebensmitteltechnologe/-login","Frauen",0
1,"2013","Lebensmitteltechnologe/-login","Männer",1
1,"2013","Ofenbauer/in","Frauen",0
1,"2013","Ofenbauer/in","Männer",1
1,"2013","Polybaupraktiker/in","Frauen",0
1,"2013","Polybaupraktiker/in","Männer",1
1,"2013","Steinmetz/in","Frauen",0
1,"2013","Steinmetz/in","Männer",1
1,"2013","Strassentransportpraktiker/in","Frauen",0
1,"2013","Strassentransportpraktiker/in","Männer",1
1,"2013","Verpackungstechnologe/-login","Frauen",0
1,"2013","Verpackungstechnologe/-login","Männer",1
1,"2013","Winzer/in","Frauen",0
1,"2013","Winzer/in","Männer",1
7796,"2014","Total","Frauen",3570
7796,"2014","Total","Männer",4226
1524,"2014","Kaufmann/-frau","Frauen",932
1524,"2014","Kaufmann/-frau","Männer",592
446,"2014","Detailhandelsfachmann/-frau","Frauen",257
446,"2014","Detailhandelsfachmann/-frau","Männer",189
398,"2014","Fachmann/-frau Gesundheit","Frauen",347
398,"2014","Fachmann/-frau Gesundheit","Männer",51
333,"2014","Elektroinstallateur/in","Frauen",6
333,"2014","Elektroinstallateur/in","Männer",327
288,"2014","Fachmann/-frau Betreuung","Frauen",260
288,"2014","Fachmann/-frau Betreuung","Männer",28
204,"2014","Polymechaniker/in","Frauen",6
204,"2014","Polymechaniker/in","Männer",198
197,"2014","Kaufmann/-frau","Frauen",122
197,"2014","Kaufmann/-frau","Männer",75
176,"2014","Koch/Köchin","Frauen",58
176,"2014","Koch/Köchin","Männer",118
166,"2014","Logistiker/in","Frauen",16
166,"2014","Logistiker/in","Männer",150
163,"2014","Dentalassistent/in","Frauen",155
163,"2014","Dentalassistent/in","Männer",8
153,"2014","Med. Praxisassistent/in","Frauen",150
153,"2014","Med. Praxisassistent/in","Männer",3
145,"2014","Detailhandelsassistent/in","Frauen",94
145,"2014","Detailhandelsassistent/in","Männer",51
118,"2014","Zeichner/in","Frauen",42
118,"2014","Zeichner/in","Männer",76
112,"2014","Pharma-Assistent/in","Frauen",111
112,"2014","Pharma-Assistent/in","Männer",1
108,"2014","Automobil-Fachmann/-frau","Frauen",2
108,"2014","Automobil-Fachmann/-frau","Männer",106
102,"2014","Fachmann/-frau Betriebsunterhalt","Frauen",1
102,"2014","Fachmann/-frau Betriebsunterhalt","Männer",101
97,"2014","Coiffeur/-euse","Frauen",83
97,"2014","Coiffeur/-euse","Männer",14
97,"2014","Detailhandelsfachmann/-frau","Frauen",50
97,"2014","Detailhandelsfachmann/-frau","Männer",47
94,"2014","Sanitärinstallateur/in","Frauen",1
94,"2014","Sanitärinstallateur/in","Männer",93
91,"2014","Automatiker/in","Frauen",2
91,"2014","Automatiker/in","Männer",89
91,"2014","Schreiner/in","Frauen",20
91,"2014","Schreiner/in","Männer",71
90,"2014","Konstrukteur/in","Frauen",14
90,"2014","Konstrukteur/in","Männer",76
89,"2014","Informatiker/in","Frauen",1
89,"2014","Informatiker/in","Männer",88
88,"2014","Informatiker/in","Frauen",6
88,"2014","Informatiker/in","Männer",82
85,"2014","Zimmermann/Zimmerin","Frauen",0
85,"2014","Zimmermann/Zimmerin","Männer",85
79,"2014","Maurer/in","Frauen",0
79,"2014","Maurer/in","Männer",79
78,"2014","Automobil-Mechatroniker/in","Frauen",1
78,"2014","Automobil-Mechatroniker/in","Männer",77
76,"2014","Assistent/in Gesundheit und Soziales","Frauen",64
76,"2014","Assistent/in Gesundheit und Soziales","Männer",12
65,"2014","Maler/in","Frauen",35
65,"2014","Maler/in","Männer",30
64,"2014","Informatiker/in","Frauen",8
64,"2014","Informatiker/in","Männer",56
62,"2014","Hotelfachmann/-frau","Frauen",52
62,"2014","Hotelfachmann/-frau","Männer",10
61,"2014","Elektroniker/in","Frauen",3
61,"2014","Elektroniker/in","Männer",58
59,"2014","Gärtner/-in","Frauen",4
59,"2014","Gärtner/-in","Männer",55
56,"2014","Zeichner/in","Frauen",19
56,"2014","Zeichner/in","Männer",37
51,"2014","Fachmann/-frau Betreuung","Frauen",47
51,"2014","Fachmann/-frau Betreuung","Männer",4
51,"2014","Restaurationsfachmann/-frau","Frauen",35
51,"2014","Restaurationsfachmann/-frau","Männer",16
46,"2014","Augenoptiker/in","Frauen",35
46,"2014","Augenoptiker/in","Männer",11
43,"2014","Montage-Elektriker/in","Frauen",0
43,"2014","Montage-Elektriker/in","Männer",43
41,"2014","Coiffeur/-euse","Frauen",35
41,"2014","Coiffeur/-euse","Männer",6
41,"2014","Elektroplaner/in","Frauen",7
41,"2014","Elektroplaner/in","Männer",34
40,"2014","Heizungsinstallateur/in","Frauen",1
40,"2014","Heizungsinstallateur/in","Männer",39
36,"2014","Bäcker/in-Konditor/in-Confiseur/in","Frauen",26
36,"2014","Bäcker/in-Konditor/in-Confiseur/in","Männer",10
36,"2014","Mediamatiker/in","Frauen",7
36,"2014","Mediamatiker/in","Männer",29
35,"2014","Drogist/in","Frauen",31
35,"2014","Drogist/in","Männer",4
34,"2014","Produktionsmechaniker/in","Frauen",2
34,"2014","Produktionsmechaniker/in","Männer",32
33,"2014","Florist/in","Frauen",33
33,"2014","Florist/in","Männer",0
31,"2014","Informatiker/in","Frauen",3
31,"2014","Informatiker/in","Männer",28
29,"2014","Anlagen- und Apparatebauer/in","Frauen",0
29,"2014","Anlagen- und Apparatebauer/in","Männer",29
28,"2014","Landmaschinenmechaniker/in","Frauen",0
28,"2014","Landmaschinenmechaniker/in","Männer",28
28,"2014","Landwirt/in","Frauen",5
28,"2014","Landwirt/in","Männer",23
26,"2014","Geomatiker/in","Frauen",8
26,"2014","Geomatiker/in","Männer",18
25,"2014","Gärtner/-in","Frauen",1
25,"2014","Gärtner/-in","Männer",24
25,"2014","Logistiker/in","Frauen",3
25,"2014","Logistiker/in","Männer",22
25,"2014","Tiermed. Praxisassistent/in","Frauen",24
25,"2014","Tiermed. Praxisassistent/in","Männer",1
24,"2014","Büroassistent/in","Frauen",18
24,"2014","Büroassistent/in","Männer",6
24,"2014","Laborant/in","Frauen",11
24,"2014","Laborant/in","Männer",13
23,"2014","Automobil-Fachmann/-frau","Frauen",0
23,"2014","Automobil-Fachmann/-frau","Männer",23
23,"2014","Drucktechnologe/-login","Frauen",5
23,"2014","Drucktechnologe/-login","Männer",18
23,"2014","Fachmann/-frau Betreuung","Frauen",21
23,"2014","Fachmann/-frau Betreuung","Männer",2
23,"2014","Metallbauer/in","Frauen",1
23,"2014","Metallbauer/in","Männer",22
21,"2014","Automobil-Assistent/in","Frauen",2
21,"2014","Automobil-Assistent/in","Männer",19
21,"2014","Schreiner/in","Frauen",2
21,"2014","Schreiner/in","Männer",19
20,"2014","Automobil-Mechatroniker/in","Frauen",1
20,"2014","Automobil-Mechatroniker/in","Männer",19
20,"2014","Fachmann/-frau Betreuung","Frauen",16
20,"2014","Fachmann/-frau Betreuung","Männer",4
20,"2014","Gebäudetechnikplaner/in","Frauen",6
20,"2014","Gebäudetechnikplaner/in","Männer",14
19,"2014","Bekleidungsgestalter/in","Frauen",18
